MainID,CrossStreetMainID,STREET,FROM,TO,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround
1802,2385,MINTON STREET,AMORY STREET,BROOKSIDE AVENUE,2,08:00:00.0000000,12:00:00.0000000,Even,0.0884,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1803,2384,MINTON STREET,AMORY STREET,BROOKSIDE AVENUE,2,08:00:00.0000000,12:00:00.0000000,Odd,0.0884,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
1804,1352,MISSION STREET,STOCKWELL STREET,HUNTINGTON AVENUE,10M,12:00:00.0000000,16:00:00.0000000,Even,0.0797,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1805,63,MISSION STREET,STOCKWELL STREET,HUNTINGTON AVENUE,10M,12:00:00.0000000,16:00:00.0000000,Odd,0.0797,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
1806,2406,MITCHELL STREET,WEST NINTH STREET,OLD COLONY AVENUE,5,13:00:00.0000000,17:00:00.0000000,Odd,0.0864,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1807,996,MONKS STREET,EAST SIXTH STREET,EAST SEVENTH STREET,5,09:00:00.0000000,13:00:00.0000000,Odd,0.0568,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1808,817,MONMOUTH STREET,MERIDIAN STREET,BROOKS STREET,9,12:00:00.0000000,16:00:00.0000000,Odd,0.1773,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1809,2353,MONMOUTH STREET,MERIDIAN STREET,BROOKS STREET,9,12:00:00.0000000,16:00:00.0000000,Even,0.1773,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1810,132,PRIESING STREET,MOZART STREET,CHESTNUT AVENUE,2,12:00:00.0000000,16:00:00.0000000,Even,0.1345,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1811,613,MONSIGNOR ALBERT A JACOBBE ROAD,CLIPPER SHIP LN,DEAD END,9,12:00:00.0000000,16:00:00.0000000,Even,0.0328,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1812,1957,MONSIGNOR ALBERT A JACOBBE ROAD,CLIPPER SHIP LN,DEAD END,9,12:00:00.0000000,16:00:00.0000000,Odd,0.0328,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1813,2516,MONSON STREET,TEMPLE STREET,STURBRIDGE STREET,7,12:00:00.0000000,16:00:00.0000000,Even,0.1057,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1814,1140,MONSON STREET,TEMPLE STREET,STURBRIDGE STREET,7,12:00:00.0000000,16:00:00.0000000,Odd,0.1057,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1815,2395,MONTEBELLO ROAD,BROOKSIDE AVENUE,WALNUT AVENUE,2,08:00:00.0000000,12:00:00.0000000,Odd,0.325,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
1816,2396,MONTEBELLO ROAD,BROOKSIDE AVENUE,WALNUT AVENUE,2,08:00:00.0000000,12:00:00.0000000,Even,0.325,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1817,543,MONTELLO STREET,ARCADIA STREET,ROBINSON STREET,3,08:00:00.0000000,12:00:00.0000000,Even,0.0746,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1818,1917,MONTELLO STREET,ARCADIA STREET,ROBINSON STREET,3,08:00:00.0000000,12:00:00.0000000,Odd,0.0746,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1819,867,MONTFERN AVENUE,WASHINGTON STREET,FANEUIL STREET,4,08:00:00.0000000,12:00:00.0000000,Even,0.1595,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1820,2068,MONTFERN AVENUE,WASHINGTON STREET,FANEUIL STREET,4,08:00:00.0000000,12:00:00.0000000,Odd,0.1595,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1821,974,MONTGOMERY STREET,CLARENDON STREET,WEST CANTON STREET,1S,12:00:00.0000000,16:00:00.0000000,Even,0.1848,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1822,2119,MONTGOMERY STREET,CLARENDON STREET,WEST CANTON STREET,1S,12:00:00.0000000,16:00:00.0000000,Odd,0.1848,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False
1823,1245,MONTROSE STREET,WARREN STREET,MORELAND STREET,10R,08:00:00.0000000,12:00:00.0000000,Even,0.158,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1824,2280,MONTROSE STREET,WARREN STREET,MORELAND STREET,10R,08:00:00.0000000,12:00:00.0000000,Odd,0.158,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1825,939,MONUMENT AVENUE,MAIN STREET,MONUMENT SQUARE,1C,08:00:00.0000000,12:00:00.0000000,Even,0.1612,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1826,2471,MONUMENT AVENUE,MAIN STREET,MONUMENT SQUARE,1C,08:00:00.0000000,12:00:00.0000000,Odd,0.1612,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1827,941,MONUMENT COURT,WINTHROP STREET,DEAD END,1C,08:00:00.0000000,12:00:00.0000000,Even,0.05,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1828,2100,MONUMENT COURT,WINTHROP STREET,DEAD END,1C,08:00:00.0000000,12:00:00.0000000,Odd,0.05,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1829,2096,MONUMENT SQUARE,MONUMENT STREET,HIGH STREET,1C,08:00:00.0000000,12:00:00.0000000,Odd,0.1326,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1830,1274,POTOSI STREET,PERCIVAL STREET,MOUNT IDA ROAD,3,08:00:00.0000000,12:00:00.0000000,Even,0.0731,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1831,935,MONUMENT SQUARE,HIGH STREET,MONUMENT AVENUE,1C,08:00:00.0000000,12:00:00.0000000,Even,0.0407,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1832,923,MONUMENT STREET,MONUMENT SQUARE,BUNKER HILL STREET,1C,08:00:00.0000000,12:00:00.0000000,Even,0.0837,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1833,876,PARSONS STREET,WASHINGTON STREET,FANEUIL STREET,4,12:00:00.0000000,16:00:00.0000000,Even,0.4809,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1834,285,NEW STREET,SUMNER STREET,MAVERICK STREET,9,08:00:00.0000000,12:00:00.0000000,Odd,0.0966,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False
1835,2088,MONUMENT STREET,MONUMENT SQUARE,BUNKER HILL STREET,1C,08:00:00.0000000,12:00:00.0000000,Odd,0.0837,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1836,807,MONUMENT STREET,BUNKER HILL STREET,MEDFORD STREET,1C,08:00:00.0000000,12:00:00.0000000,Even,0.1218,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1837,2052,MONUMENT STREET,BUNKER HILL STREET,MEDFORD STREET,1C,08:00:00.0000000,12:00:00.0000000,Odd,0.1218,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1838,1438,MOORE STREET,SARATOGA STREET,DEAD END,9,12:00:00.0000000,16:00:00.0000000,Even,0.2313,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1839,269,MOORE STREET,SARATOGA STREET,DEAD END,9,12:00:00.0000000,16:00:00.0000000,Odd,0.2313,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1840,2917,MORAINE STREET,CENTRE STREET,JAMAICAWAY,2,12:00:00.0000000,16:00:00.0000000,Odd,0.2809,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1841,2918,MORAINE STREET,CENTRE STREET,JAMAICAWAY,2,12:00:00.0000000,16:00:00.0000000,Even,0.2809,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1842,1376,MORELAND STREET,WARREN STREET,BLUE HILL AVENUE,10R,08:00:00.0000000,12:00:00.0000000,Even,0.4063,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1843,747,MORELAND STREET,WARREN STREET,BLUE HILL AVENUE,10R,08:00:00.0000000,12:00:00.0000000,Odd,0.4063,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1844,2051,POLK STREET,BUNKER HILL STREET,MEDFORD STREET,1C,08:00:00.0000000,12:00:00.0000000,Odd,0.129,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1845,699,MORRILL STREET,PLEASANT STREET,BAKERSFIELD STREET,3,12:00:00.0000000,16:00:00.0000000,Even,0.0833,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
