partner_id,partner_name,name,address,lat,lon,head,id
4901,Parking Panda,Sharp Parking LLC,246 E 45th St,40.7519637,-73.9713158,178.53,5EyD08rIZ7fNMS57JkZkQg
5284,Parking Panda,Valor Parking LLC,235 E 45th St,40.7520165,-73.9714408,350.84,Yy4643CjXjZHDdce0qARAw
5216,Parking Panda,23rd Street Parking LLC,322 E 23rd St,40.7375516,-73.9801066,197.25,EgJ2P6Q_9E9CS8vUnj3V7A
5138,Parking Panda,Consolidated Parking LLC,146 3rd Ave,40.7343566,-73.9864132,268.13,Qf_u0pHwwFuaVXKtkAEZwA
5363,Parking Panda,Amber Parking LLC,101 E 13th St,40.7333858,-73.9895799,337.03,_gf-qQQWkKaz82AzW9pPAg
4125,Parking Panda,411 W 55th St,411 W 55th St,40.7668583,-73.9872382,337.27,LthsFha4NR5fmiq-dhW24g
5029,Parking Panda,815 Tenth Parking LLC,511 W 54th St,40.7674711,-73.9906169,62.44,9mCUDkGZ-OkbRIPH8l5jtg
5316,Parking Panda,Salem Parking LLC,136 Jane St,40.7381509,-74.009071,229.25,iK5NpPwJ46FkpD4z8a6GRw
5322,Parking Panda,99 Jane Street Parking LLC,129 Jane St,40.7387649,-74.008981,120.5,ZGIWJh5XY0gsgERlmvqecQ
4889,Parking Panda,Maestro Parking LLC,888 7th Ave,40.7653182,-73.980205,254.91,NbM5rFxUzxWHgMBHRmELPA
4903,Parking Panda,Beneficial 21 Parking LLC,329 E 21st St,40.7358328,-73.9800423,331.87,-P32TMCYGbhWj2ycur62Mw
5068,Parking Panda,Nations 47 Parking LLC,245 E 47th St,40.7533756,-73.9707947,357.7,WGjVdnSHGHff8XNO3CnHsg
3625,Parking Panda,17 E 54th St,17 E 54th St,40.7606883,-73.97454,63.47,vKQ6ncx92qP4P3RQUBSjaA
2920,Parking Panda,12th Street,60 E 12th St,40.7329351,-73.9905046,178.18,eoqaAT0_8jjB64ZHhLqrqg
2124,Parking Panda,409 W 56th St,409 W 56th St,40.7675672,-73.9869791,58.43,1AKQI6p8f_L5EEJYEd65rg
5328,Parking Panda,Brevoort Parking LLC,20 E 9th St,40.7324702,-73.9950435,242.16,K5xTtcfknaETuTxaN9tH5g
5348,Parking Panda,8th Street Parking LLC,11 E 8th St,40.731959,-73.9956983,29.3,fiwCKr00NQqJyrGDSDcWag
5357,Parking Panda,Apex Parking LLC,440 W 57th St,40.7686758,-73.9875006,181.89,oatugXOqxgaWV37t5_fy_Q
5241,Parking Panda,333 E 46th St PK LLC,333 E 46th St,40.7518618,-73.9691506,86.43,jL85WWFrfJdCEUbRBAoRdw
3638,Parking Panda,332 W 11th St,332 W 11th St,40.7356067,-74.0076383,216.22,60tG9d8iD_0ZVZGicMyB9g
5119,Parking Panda,Columbus Circle Parking LLC,330 W 58th St,40.7680278,-73.9838251,180.64,8GrFOsz8m-DIgDW_I4a5xw
5149,Parking Panda,Effective Parking LLC,435 W 57th St,40.7686758,-73.9875006,4.5,oatugXOqxgaWV37t5_fy_Q
5279,Parking Panda,University 10 Parking LLC,63 E 9th St,40.7318954,-73.9918867,235.26,1RpKcCsDInFtwyQVuAbRwA
5235,Parking Panda,304060 Parking LLC,40 E 9th St,40.7318043,-73.9934423,223.89,DbwJBRTCKuuX6dXluQUypA
5878,Parking Panda,9 W 57th St,9 W 57th St,40.7636623,-73.9755986,16.5,tDxC4r-2sJO2L9z2Mb7MTw
2129,Parking Panda,318 East 15th Street,318 East 15th Street,40.7324985,-73.9831958,258.72,LciFiYIuIs1xMitCFfihew
5098,Parking Panda,Plaza 48 Parking LLC,329 E 48th St,40.7531105,-73.9682105,56.34,OuFBmlwnbH53RH9fkX4wBg
5231,Parking Panda,Scarlet 53 Parking LLC,223 E 53rd St,40.7572918,-73.9684201,344.58,lf9eJmedjjObaW9DFkwCug
5334,Parking Panda,Key Parking LLC,115 E 9th St,40.7303175,-73.9899377,31.78,kRi_PyfOz0eByYXWLV9wgQ
4879,Parking Panda,59th and 5th Parking LLC,767 5th Ave,40.7639034,-73.972116,166.65,YaSQb-LOonhM9LlmMo3KUg
5312,Parking Panda,Lafayette Place Parking LLC,64 Cooper Sq,40.7290043,-73.9910342,330.68,q3H7H_oZ8_ZKNoB-s0rRFQ
5256,Parking Panda,53rd Sterling Parking LLC,304 E 53rd St,40.7565211,-73.9665849,227.8,l081JUmtaVlOBUDEmVy5-A
2575,Parking Panda,220 East 9th Street,220 East 9th Street,40.7296106,-73.9882846,211.04,ZoNB2CZI4asmJwnqdH9NpA
5258,Parking Panda,Support Parking LLC,350 E 52nd St,40.7554353,-73.9659651,156.7,YaVjVESHNm4-phD5s9TD4A
2241,Parking Panda,221 Thompson Street,221 Thompson Street,40.729396,-73.9988712,256.37,qcwJfhOKowRCQ6g13DMNnA
5270,Parking Panda,54th and 2nd Parking LLC,313 E 54th St,40.7570951,-73.9660096,176.82,CgXBWrEXth58TqACl9m-QQ
4888,Parking Panda,Lexington 58 Parking LLC,150 E 58th St,40.761454,-73.9682893,180.74,W6j1tw1YTKxDVYvmlEQ5Nw
5303,Parking Panda,Lincoln 63 Parking LLC,30 W 63rd St,40.7708979,-73.9809689,251.79,t8BG6ZnCjdHwjj1AaXUmpw
5195,Parking Panda,Distinctive Parking LLC,35 E 61st St,40.7645617,-73.9698485,10.29,-3-isr07Mld7vK5nDmHOfQ
5262,Parking Panda,Sutton 53 Parking LLC,413 E 53rd St,40.7552818,-73.9636609,349.84,sbDo7w67EofjPsWBgbxhKw
4882,Parking Panda,Broadway & 64th Parking LLC,20 W 64th St,40.7716237,-73.9807568,186,2sY6UKSFsY3TUkzgHoRAMQ
5242,Parking Panda,Select Parking LLC,301 E 57th St,40.7590576,-73.964705,24.98,TANskYD67ynZB20xaJ-QnQ
2245,Parking Panda,575 Washington Street,575 Washington Street,40.729557,-74.0092605,98.5,DadEUsq66lml46F56HWBbg
5353,Parking Panda,Aspen 36 Parking LLC,60 Riverside Blvd,40.7741643,-73.9906576,75.18,6vhzGnnsQG6Yf7jztwn9mg
5064,Parking Panda,MPC Parking LLC,300 E 59th St,40.7604611,-73.9639688,190.22,wZBQnxx2t1j4uUUFjSUUtg
2571,Parking Panda,405 East 56th Street,405 East 56th Street,40.757472,-73.9630005,59.43,USvhmGa_Q9sHERAmZ3NA-g
4876,Parking Panda,2 Lincoln Parking LLC,60 W 66th St,40.7733354,-73.9809198,244.26,FY_Dplk-rxAgZZ7I9DgO3g
4900,Parking Panda,Premier Parking LLC,203 E 61st St,40.7625975,-73.9651821,341.64,D9crSWQGulO0BOtneSdMAw
4894,Parking Panda,Performance Parking LLC,160 W 66th St,40.774445,-73.9835379,228.77,QQna1qvdqHNPh_0M52YT3w
