id_trc,rue_nom,rue_de,rue_a,id_trc_pair,rule_pair_1,rule_pair_2,id_trc_impair,rule_impair_1,rule_impair_2
1601582,Champlain,Beatty,Moffat,16015822,MTLVER-10,MTLVER-34,16015821,MTLVER-29,MTLVER-42
1601627,Champlain,Brown,Valiquette,16016272,MTLVER-10,MTLVER-34,16016271,MTLVER-29,MTLVER-42
1601622,Champlain,Cinquième,Sixième,16016222,MTLVER-10,MTLVER-34,16016221,MTLVER-29,MTLVER-42
1601992,Champlain,Crawford,Parkdale,16019922,MTLVER-10,MTLVER-34,16019921,MTLVER-NP,
1601618,Champlain,Desmarchais,Melrose,16016182,MTLVER-10,MTLVER-34,16016181,MTLVER-29,MTLVER-42
1601384,Champlain,Deuxième,Troisième,16013842,MTLVER-NP,,16013841,MTLVER-NP,
1601620,Champlain,Egan,Osborne,16016202,MTLVER-NP,,16016201,MTLVER-29,MTLVER-42
"1601373,4000448,4010588",Champlain,Église,Galt,"16013732,40004482,40105882",MTLVER-NP,,"16013731,40004481,40105881",MTLVER-NP,
4010590,Champlain,Entrée Hôpital Douglas,Leclair,40105902,MTLVER-ARR,,40105901,MTLVER-NP,
1601987,Champlain,Fayolle,Lim. Ville de LaSalle,16019872,MTLVER-10,MTLVER-34,16019871,MTLVER-NP,
"4000449,4000531",Champlain,Galt,Gordon,"40004492,40005312",MTLVER-NP,,"40004491,40005311",MTLVER-NP,
1601376,Champlain,Gordon,Rielle,16013762,MTLVER-NP,,16013761,MTLVER-NP,
1601640,Champlain,Leclair,Crawford,16016402,MTLVER-ARR,,16016401,MTLVER-NP,
1601584,Champlain,Manning,Brown,16015842,MTLVER-10,MTLVER-34,16015841,MTLVER-29,MTLVER-42
1601619,Champlain,Melrose,Argyle,16016192,MTLVER-10,MTLVER-34,16016191,MTLVER-29,MTLVER-42
1601583,Champlain,Moffat,Manning,16015832,MTLVER-10,MTLVER-34,16015831,MTLVER-29,MTLVER-42
1601575,Champlain,Osborne,Beatty,16015752,MTLVER-10,MTLVER-34,16015751,MTLVER-29,MTLVER-42
1601988,Champlain,Parkdale,Fayolle,16019882,MTLVER-10,MTLVER-34,16019881,MTLVER-NP,
1601382,Champlain,Première,Deuxième,16013822,MTLVER-NP,,16013821,MTLVER-NP,
"1601625,1601626",Champlain,Quatrième,Cinquième,"16016252,16016262",MTLVER-ARR,,"16016251,16016261",MTLVER-NP,
1601378,Champlain,Rielle,Willibrord,16013782,MTLVER-10,MTLVER-34,16013781,MTLVER-NP,
1601631,Champlain,Rolland,Stephens,16016312,MTLVER-10,MTLVER-34,16016311,MTLVER-NP,
1601617,Champlain,Sixième,Desmarchais,16016172,MTLVER-10,MTLVER-34,16016171,MTLVER-29,MTLVER-42
4010590,Champlain,Stephens,Entrée Hôpital Douglas,40105902,MTLVER-ARR,,40105901,MTLVER-NP,
1601385,Champlain,Troisième,Quatrième,16013852,MTLVER-10,MTLVER-34,16013851,MTLVER-NP,
1601630,Champlain,Valiquette,Rolland,16016302,MTLVER-10,MTLVER-34,16016301,MTLVER-29,MTLVER-42
1601380,Champlain,Willibrord,Première,16013802,MTLVER-NP,,16013801,MTLVER-NP,
1601578,Champlain,Woodland,Egan,16015782,MTLVER-NP,,16015781,MTLVER-29,MTLVER-42
1601671,Churchill,Clémenceau,Foch,16016712,MTLVER-10,MTLVER-37,16016711,MTLVER-13,MTLVER-35
1601674,Churchill,Crawford,LLoyd-George,16016742,MTLVER-10,MTLVER-37,16016741,MTLVER-13,MTLVER-35
1601664,Churchill,Fayolle,Limite LaSalle,16016642,MTLVER-10,MTLVER-37,16016641,MTLVER-13,MTLVER-35
1601667,Churchill,Foch,Fayolle,16016672,MTLVER-10,MTLVER-37,16016671,MTLVER-13,MTLVER-35
1601676,Churchill,Leclair,Crawford,16016762,MTLVER-10,MTLVER-37,16016761,MTLVER-13,MTLVER-35
1601677,Churchill,Lim. Hôpital Douglas,Leclair,16016772,MTLVER-10,MTLVER-37,16016771,MTLVER-13,MTLVER-35
1601673,Churchill,LLoyd-George,Clémenceau,16016732,MTLVER-10,MTLVER-37,16016731,MTLVER-13,MTLVER-35
1601623,Cinquième,Bannantyne,Champlain,16016232,MTLVER-11,MTLVER-33,16016231,MTLVER-16,MTLVER-32
1601468,Cinquième,LaSalle,Wellington,16014682,MTLVER-11,MTLVER-33,16014681,MTLVER-16,MTLVER-32
1601412,Cinquième,Verdun,Bannantyne,16014122,MTLVER-11,MTLVER-33,16014121,MTLVER-16,MTLVER-32
1601427,Cinquième,Wellington,Verdun,16014272,MTLVER-11,MTLVER-33,16014271,MTLVER-16,MTLVER-32
4010482,Cinquième (Pont),Champlain,Limite Montréal,40104822,MTLVER-ARR,,40104821,MTLVER-ARR,
1601331,Claude,Dupuis,Hickson,16013312,MTLVER-12,MTLVER-37,16013311,MTLVER-14,MTLVER-35
1601342,Claude,Église,Galt,16013422,MTLVER-12,MTLVER-37,16013421,MTLVER-14,MTLVER-35
